,Model,Family,Test AUC,Test PR-AUC,Test F1,Test Recall,Threshold,Inference (ms),Source
1,Stacking Ensemble,Ensemble,0.6773319362010621,0.44857922065181627,0.496530715857167,0.6647032170367014,0.5,390.97023010253906,07
2,Stacking (OOF) ⭐,Ensemble,0.6773319362010621,0.4485792206518162,0.496530715857167,0.6647032170367014,0.5,,07
3,"XGBoost (Optuna, thr≈0.26)",GBM,0.6734042057106036,0.44842394024458887,0.49246690001521837,0.7331218849116448,0.258,75.00791549682617,04
4,"XGBoost (Optuna, thr=0.5)",GBM,0.6734042057106036,0.44842394024458887,0.19791666666666666,0.12052560036248301,0.5,66.35594367980957,04
5,XGBoost (Baseline),GBM,0.6731237485304883,0.4439893540667659,0.20311341734618235,0.12415043044857273,0.5,45.65095901489258,04
6,LightGBM (Small Tuned),GBM,0.6690158903846329,0.4447614711557314,0.4776978417266187,0.6017217942908926,0.5,360.4729175567627,04
7,AE Ablation - Baseline (X only),Autoencoder,0.6680606402619639,0.4351693380401009,0.2307419240326588,0.1472587222473946,0.5,,06
8,Random Forest (Baseline),Tree,0.6630474889481668,0.4306216503679262,0.47782546494992845,0.6053466243769823,0.5,597.8600978851318,04
9,AE Ablation - Augmented (X+Z),Autoencoder,0.6608862064525598,0.4323022441724479,0.2281449893390192,0.1454463072043497,0.5,,06
10,NN - Wide & Deep (Focal),NN,0.658369281975589,0.42145788244573335,0.4852090563543216,0.6651563207974626,0.5,,05
11,NN - Embedding (Focal),NN,0.657500978566139,0.4252322724278041,0.4782312925170068,0.6370638876302673,0.5,,05
12,NN - Wide & Deep *,NN,0.6553019166430389,0.425920610979453,0.4692133263561835,0.6094245582238332,0.5,,05
13,NN - Dense (Baseline),NN,0.655164389552197,0.41921908473348796,0.47138163582915443,0.6175804259175351,0.5,,05
14,NN - Embedding (Baseline),NN,0.6549321437427003,0.42396620714601774,0.47374763298330175,0.6234707748074308,0.5,,05
15,Decision Tree (Baseline),Tree,0.6291115467313231,0.3794185867690145,0.4641660015961692,0.6588128681468056,0.5,136.37089729309082,04
16,Logistic Regression (Baseline),Linear,0.6158881236857726,0.37743555203206963,0.4418194640338505,0.5677390122338015,0.5,160.80999374389648,03
17,AE Ablation - Latent-only (Z),Autoencoder,0.6111090053271071,0.3791106365914582,0.1299105406456631,0.0756683280471227,0.5,,06
