feature_1,feature_2,spearman_corr
HandsetModels,Handsets,0.9054327116295968
DroppedBlockedCalls,DroppedCalls,0.8768710851288478
OffPeakCallsInOut,ReceivedCalls,0.867804399403999
PeakCallsInOut,ReceivedCalls,0.867236540614094
OffPeakCallsInOut,OutboundCalls,0.8435293787954624
OffPeakCallsInOut,PeakCallsInOut,0.8328327858178627
PeakCallsInOut,OutboundCalls,0.831198112256509
OffPeakCallsInOut,UnansweredCalls,0.8266832356105153
ReceivedCalls,OutboundCalls,0.8247764511300067
PeakCallsInOut,UnansweredCalls,0.8216747344862336
InboundCalls,OutboundCalls,0.8055320544429971
MonthlyMinutes,ReceivedCalls,0.8003718390586102
OffPeakCallsInOut,DroppedBlockedCalls,0.7966504545074811
PeakCallsInOut,DroppedBlockedCalls,0.7913030942759655
MonthlyMinutes,OffPeakCallsInOut,0.7909248857539355
MonthlyMinutes,PeakCallsInOut,0.7775174766800761
OffPeakCallsInOut,DroppedCalls,0.7610674818496551
TotalRecurringCharge,MonthlyRevenue,0.7583578825056152
PeakCallsInOut,DroppedCalls,0.7578248181601622
InboundCalls,ReceivedCalls,0.7545413869706296
ReceivedCalls,UnansweredCalls,0.7496663495478082
UnansweredCalls,DroppedBlockedCalls,0.7451044373063835
ReceivedCalls,DroppedBlockedCalls,0.7450248945027561
OutboundCalls,DroppedBlockedCalls,0.7327135683473764
UnansweredCalls,OutboundCalls,0.7280787360356276
OutboundCalls,DroppedCalls,0.7232192412848731
ReceivedCalls,CallWaitingCalls,0.7206882860543943
InboundCalls,OffPeakCallsInOut,0.7196773594029618
ReceivedCalls,DroppedCalls,0.7185844476964469
MonthlyMinutes,MonthlyRevenue,0.7177988460225986
MonthlyMinutes,OutboundCalls,0.7177020880568887
UnansweredCalls,DroppedCalls,0.7164363393922248
RetentionCalls,RetentionOffersAccepted,0.7056649851874225
MonthlyMinutes,UnansweredCalls,0.7035236919729158
PeakCallsInOut,CallWaitingCalls,0.7032954978229048
