feature,dtype,missing_rate,spearman_corr,churn_gap,risk_score
ChurnLabel,categorical,0.0,0.0,0.7118,0.4271
CurrentEquipmentDays,numeric,0.0,0.1168,0.0962,0.1045
MadeCallToRetentionTeam,categorical,0.0,0.0,0.1622,0.0973
MonthsInService,numeric,0.0,0.0396,0.1176,0.0864
HighRiskServiceArea,categorical,0.0,0.0,0.1349,0.0809
RevenuePerMinute,numeric,0.0031,0.0763,0.0573,0.0649
Tenure_band,categorical,0.0,0.0,0.0952,0.0571
MonthlyMinutes,numeric,0.0031,0.0621,0.052,0.0561
TotalRecurringCharge,numeric,0.0031,0.0671,0.0479,0.0556
MOU_perActive,numeric,0.0038,0.0649,0.0481,0.0548
HandsetWebCapable,categorical,0.0,0.0,0.0853,0.0512
OffPeakCallsInOut,numeric,0.0,0.0556,0.0457,0.0497
CreditRating,numeric,0.0,0.0449,0.0461,0.0456
CustomerCareCalls,numeric,0.0,0.052,0.0408,0.0453
PeakCallsInOut,numeric,0.0,0.0489,0.0422,0.0449
PercChangeMinutes,numeric,0.0072,0.0489,0.041,0.0441
ServiceArea,categorical,0.0005,0.0,0.0729,0.0437
UnansweredCalls,numeric,0.0,0.0463,0.0408,0.043
OutboundCalls,numeric,0.0,0.0458,0.0404,0.0425
InactiveSubs_decile,categorical,0.0,0.0,0.07,0.042
HandsetModels,numeric,0.0,0.0422,0.0403,0.0411
ReceivedCalls,numeric,0.0,0.0478,0.0366,0.041
UpgradeOverdue,categorical,0.0,0.0,0.0679,0.0407
InboundCalls,numeric,0.0,0.0558,0.0301,0.0403
DroppedQuality_flag,categorical,0.0,0.0,0.066,0.0396
ServiceArea_headtail,categorical,0.0,0.0,0.0638,0.0383
UniqueSubs,numeric,0.0,0.0451,0.0325,0.0376
ThreewayCalls,numeric,0.0,0.0313,0.0296,0.0303
CallWaitingCalls,numeric,0.0,0.0379,0.025,0.0302
DroppedCalls,numeric,0.0,0.0261,0.0307,0.0288
MonthsInService_bucket,categorical,0.0,0.0,0.0479,0.0287
DroppedBlockedCalls,numeric,0.0,0.0279,0.0288,0.0284
Handsets,numeric,0.0,0.0363,0.0221,0.0278
MadeCallToRetentionTeam_flag,numeric,0.0,0.0674,0.0,0.027
RetentionCalls_flag,numeric,0.0,0.0674,0.0,0.027
RetentionCalls,numeric,0.0,0.0674,0.0,0.027
MonthlyRevenue,numeric,0.0031,0.0237,0.0264,0.0253
Age_band,categorical,0.2904,0.0,0.0404,0.0242
CustomerCareCalls_band,categorical,0.0,0.0,0.0399,0.0239
ActiveSubs,numeric,0.0,0.0226,0.0238,0.0233
AgeHH1,numeric,0.0178,0.0312,0.0181,0.0233
Occupation,categorical,0.0,0.0,0.0367,0.022
OverageMinutes,numeric,0.0031,0.0197,0.0214,0.0207
InactiveSubs,numeric,0.0,0.051,0.0,0.0204
PercChangeRevenues,numeric,0.0072,0.0045,0.031,0.0204
HandsetRefurbished,categorical,0.0,0.0,0.0338,0.0203
DirectorAssistedCalls,numeric,0.0031,0.0248,0.017,0.0201
PrizmCode,categorical,0.0,0.0,0.0289,0.0174
HighUsage_flag,categorical,0.0,0.0,0.0286,0.0172
OwnsMotorcycle,categorical,0.0,0.0,0.0285,0.0171
AgeHH2,numeric,0.0178,0.0176,0.0166,0.017
RetentionOffersAccepted_flag,numeric,0.0,0.0359,0.0,0.0144
RetentionOffersAccepted,numeric,0.0,0.0359,0.0,0.0144
CustomerCareCalls_flag,categorical,0.0,0.0,0.0232,0.0139
BlockedCalls,numeric,0.0,0.0174,0.0112,0.0137
HandsetPrice,numeric,0.5678,0.0015,0.0217,0.0136
HandsetPrice_q,categorical,0.0,0.0,0.0192,0.0115
MaritalStatus,categorical,0.0,0.0,0.0172,0.0103
IncomeGroup,numeric,0.0,0.0108,0.0098,0.0102
IncomeBand,categorical,0.0,0.0,0.0141,0.0085
RespondsToMailOffers,categorical,0.0,0.0,0.0133,0.008
BuysViaMailOrder,categorical,0.0,0.0,0.0131,0.0078
AdjustmentsToCreditRating,numeric,0.0,0.0158,0.0,0.0063
Homeownership,categorical,0.0,0.0,0.0084,0.005
ChildrenInHH,categorical,0.0,0.0,0.0077,0.0046
NotNewCellphoneUser,categorical,0.0,0.0,0.0076,0.0046
NewCellphoneUser,categorical,0.0,0.0,0.0071,0.0043
ReferralsMadeBySubscriber,numeric,0.0,0.0097,0.0,0.0039
HasCreditCard,categorical,0.0,0.0,0.0056,0.0034
NonUSTravel,categorical,0.0,0.0,0.0054,0.0033
RVOwner,categorical,0.0,0.0,0.0053,0.0032
TruckOwner,categorical,0.0,0.0,0.0046,0.0027
RoamingCalls,numeric,0.0031,0.0013,0.0026,0.002
CallForwardingCalls,numeric,0.0,0.0048,0.0,0.0019
OwnsComputer,categorical,0.0,0.0,0.0019,0.0012
OptOutMailings,categorical,0.0,0.0,0.0004,0.0002
SilentChurn_flag,numeric,0.0,,0.0,
